Year,Country,crime_index,foreign_investment,gepu
2012,Australia,47.5,57571285654.7447,140.266357421875
2013,Australia,47.5,54472699003.5959,110.67232513427734
2014,Australia,47.5,63204516347.8725,77.6370620727539
2015,Australia,47.5,46892808567.8515,108.0818328857422
2016,Australia,47.5,42970225977.7088,67.03876495361328
2017,Australia,47.5,48199372039.9014,138.90890502929688
2018,Australia,47.5,60686639529.9229,48.90142440795898
2019,Australia,47.5,38745129661.1196,104.47289276123048
2020,Australia,47.5,17976843681.3118,100.99530029296876
2021,Australia,47.5,31453060427.4531,144.7079620361328
2022,Australia,47.5,68709419796.6457,66.05541229248047
2023,Australia,47.5,35315978153.0955,115.35894012451172
2024,Australia,47.5,53950665928.6456,84.72692108154297
2025,Australia,47.5,,133.69046020507812
2012,Brazil,64.0,92568388321.34,130.60597229003906
2013,Brazil,64.0,75211029129.4,164.3462371826172
2014,Brazil,64.0,87713983217.24,136.64743041992188
2015,Brazil,64.0,64738153494.44,193.99337768554688
2016,Brazil,64.0,74294627801.19,306.6892395019531
2017,Brazil,64.0,68885491315.23,330.928466796875
2018,Brazil,64.0,78183840044.98,165.00503540039062
2019,Brazil,64.0,69174411753.45,127.06861877441406
2020,Brazil,64.0,38270116307.45,130.71536254882812
2021,Brazil,64.0,46440503520.19,204.1461181640625
2022,Brazil,64.0,75501038733.31,201.1039276123047
2023,Brazil,64.0,62750364285.48,255.69158935546875
2024,Brazil,64.0,74090786050.19,143.90174865722656
2025,Brazil,64.0,,332.896240234375
2012,Canada,45.6,49368985104.199,235.51641845703125
2013,Canada,45.6,67027866778.2681,223.526611328125
2014,Canada,45.6,64174605785.6346,132.78744506835938
2015,Canada,45.6,59986208237.0734,286.051513671875
2016,Canada,45.6,34201872160.6084,156.0035400390625
2017,Canada,45.6,25357801000.4969,338.15545654296875
2018,Canada,45.6,42603762048.597,343.7724304199219
2019,Canada,45.6,48942300762.2452,301.89996337890625
2020,Canada,45.6,29123011879.2998,275.7078552246094
2021,Canada,45.6,60189690111.8854,290.4154357910156
2022,Canada,45.6,50229920776.0187,213.8743133544922
2023,Canada,45.6,42076242120.3715,232.5386199951172
2024,Canada,45.6,58797136074.7493,247.07797241210935
2025,Canada,45.6,,883.2801513671875
2012,Chile,60.7,31801970676.0608,101.19027709960938
