Year,Country,crime_index,foreign_investment,gepu,cpi_score,log_fdi,crime_index_std,cpi_score_std,gepu_std,foreign_investment_std,fdi_lag1,crime_lag1,cpi_lag1,fdi_change,crime_change,is_oecd,is_brics,development_level,time_trend,years_since_2012,crime_corruption_int,gepu_corruption_int,crime_corruption_ratio
2012,Australia,47.5,57571285654.7447,140.266357421875,85.0,24.776289767410912,0.2982118367415231,1.2725164854267341,-0.3728639185862627,-0.07999945185942899,,,,,,1,0,Advanced,1,0,4037.5,11922.640380859375,3.1666666666666665
2013,Australia,47.5,54472699003.5959,110.67232513427734,81.0,24.720965477391562,0.2982118367415231,1.0698403671562646,-0.6076310066721528,-0.11493677967673889,57571285654.7447,47.5,85.0,-5.3821737970748735,0.0,1,0,Advanced,2,1,3847.5,8964.458335876465,2.5
2014,Australia,47.5,63204516347.8725,77.6370620727539,80.0,24.869641596746508,0.2982118367415231,1.0191713375886473,-0.8696971028950542,-0.016483388068419338,54472699003.5959,47.5,81.0,16.029713056259954,0.0,1,0,Advanced,3,2,3800.0,6210.9649658203125,2.375
2015,Australia,47.5,46892808567.8515,108.0818328857422,79.0,24.571130165201296,0.2982118367415231,0.9685023080210298,-0.6281811742190245,-0.20040191161833304,63204516347.8725,47.5,80.0,-25.80781995109762,0.0,1,0,Advanced,4,3,3752.5,8538.464797973635,2.261904761904762
2016,Australia,47.5,42970225977.7088,67.03876495361328,79.0,24.483773293684084,0.2982118367415231,0.9685023080210298,-0.9537725451717207,-0.24462999663621662,46892808567.8515,47.5,79.0,-8.364998194695294,0.0,1,0,Advanced,5,4,3752.5,5296.062431335449,2.261904761904762
2017,Australia,47.5,48199372039.9014,138.90890502929688,77.0,24.598611829700285,0.2982118367415231,0.867164248885795,-0.38363247970438874,-0.18567008660378778,42970225977.7088,47.5,79.0,12.16923100405678,0.0,1,0,Advanced,6,5,3657.5,10695.98568725586,2.0652173913043477
2018,Australia,47.5,60686639529.9229,48.90142440795898,77.0,24.8289894041938,0.2982118367415231,0.867164248885795,-1.0976546151831765,-0.04487306946064259,48199372039.9014,47.5,77.0,25.907531491663494,0.0,1,0,Advanced,7,6,3657.5,3765.4096794128413,2.0652173913043477
2019,Australia,47.5,38745129661.1196,104.47289276123048,77.0,24.380270898681943,0.2982118367415231,0.867164248885795,-0.6568106072031541,-0.2922689984429462,60686639529.9229,47.5,77.0,-36.155420762727445,0.0,1,0,Advanced,8,7,3657.5,8044.412742614747,2.0652173913043477
2020,Australia,47.5,17976843681.3118,100.99530029296876,77.0,23.612350304490423,0.2982118367415231,0.867164248885795,-0.6843980697492896,-0.5264365390573665,38745129661.1196,47.5,77.0,-53.60231379132174,0.0,1,0,Advanced,9,8,3657.5,7776.638122558595,2.0652173913043477
2021,Australia,47.5,31453060427.4531,144.7079620361328,73.0,24.171762126247273,0.2982118367415231,0.6644881306153254,-0.3376290248892941,-0.3744888754274005,17976843681.3118,47.5,77.0,74.96430955869513,0.0,1,0,Advanced,10,9,3467.5,10563.681228637695,1.7592592592592593
2022,Australia,47.5,68709419796.6457,66.05541229248047,75.0,24.953152141719215,0.2982118367415231,0.7658261897505602,-0.9615734030802393,0.04558575442953999,31453060427.4531,47.5,73.0,118.45066541338602,0.0,1,0,Advanced,11,10,3562.5,4954.155921936035,1.9
2023,Australia,47.5,35315978153.0955,115.35894012451172,75.0,24.287601337373466,0.2982118367415231,0.7658261897505602,-0.5704524652843301,-0.33093352645498125,68709419796.6457,47.5,75.0,-48.600965839010655,0.0,1,0,Advanced,12,11,3562.5,8651.920509338379,1.9
2024,Australia,47.5,53950665928.6456,84.72692108154297,77.0,24.711335872015443,0.2982118367415231,0.867164248885795,-0.8134538191729347,-0.12082283119776224,35315978153.0955,47.5,75.0,52.76560002038835,0.0,1,0,Advanced,13,12,3657.5,6523.972923278809,2.0652173913043477
2025,Australia,47.5,,133.69046020507812,76.0,,0.2982118367415231,0.8164952193181776,-0.42502998457337365,,53950665928.6456,47.5,77.0,,0.0,1,0,Advanced,14,13,3610.0,10160.474975585938,1.9791666666666667
2012,Brazil,64.0,92568388321.34,130.60597229003906,43.0,25.25121354149631,1.7802887362099358,-0.8555827564131968,-0.44949898018075196,0.3146015021160149,,,,,,0,1,Emerging,1,0,2752.0,5616.05680847168,1.1228070175438596
2013,Brazil,64.0,75211029129.4,164.3462371826172,42.0,25.043563721102885,1.7802887362099358,-0.9062517859808141,-0.18184016089248795,0.11889300130427345,92568388321.34,64.0,43.0,-18.7508495142921,0.0,0,1,Emerging,2,1,2688.0,6902.541961669922,1.103448275862069
2014,Brazil,64.0,87713983217.24,136.64743041992188,43.0,25.197347167368907,1.7802887362099358,-0.8555827564131968,-0.4015725766693313,0.25986688870215896,75211029129.4,64.0,42.0,16.623830617087787,0.0,0,1,Emerging,3,2,2752.0,5875.839508056641,1.1228070175438596
2015,Brazil,64.0,64738153494.44,193.99337768554688,38.0,24.893616563172447,1.7802887362099358,-1.1089279042512838,0.05334823041243535,0.0008087485650898631,87713983217.24,64.0,43.0,-26.194033015119246,0.0,0,1,Emerging,4,3,2432.0,7371.748352050781,1.032258064516129
2016,Brazil,64.0,74294627801.19,306.6892395019531,40.0,25.031304481899795,1.7802887362099358,-1.007589845116049,0.9473554769023069,0.10856035057655519,64738153494.44,64.0,38.0,14.761734450104068,0.0,0,1,Emerging,5,4,2560.0,12267.569580078125,1.0666666666666667
2017,Brazil,64.0,68885491315.23,330.928466796875,37.0,24.955711416815447,1.7802887362099358,-1.1595969338189012,1.139643325823309,0.047571004176159316,74294627801.19,64.0,40.0,-7.280656281682541,0.0,0,1,Emerging,6,5,2368.0,12244.353271484375,1.0158730158730158
2018,Brazil,64.0,78183840044.98,165.00503540039062,35.0,25.082328814101643,1.7802887362099358,-1.260934992954136,-0.1766139673910481,0.15241217671864796,68885491315.23,64.0,37.0,13.49826872425053,0.0,0,1,Emerging,7,6,2240.0,5775.176239013672,0.9846153846153847
2019,Brazil,64.0,69174411753.45,127.06861877441406,35.0,24.959896858838395,1.7802887362099358,-1.260934992954136,-0.4775605223296296,0.05082865329159414,78183840044.98,64.0,35.0,-11.523389342793578,0.0,0,1,Emerging,8,7,2240.0,4447.401657104492,0.9846153846153847
2020,Brazil,64.0,38270116307.45,130.71536254882812,38.0,24.367935175507963,1.7802887362099358,-1.1089279042512838,-0.4486311960183473,-0.29762489102339146,69174411753.45,64.0,35.0,-44.67590639751076,0.0,0,1,Emerging,9,8,2432.0,4967.183776855469,1.032258064516129
2021,Brazil,64.0,46440503520.19,204.1461181640625,38.0,24.561437836098676,1.7802887362099358,-1.1089279042512838,0.13388910754163125,-0.20550176245442797,38270116307.45,64.0,38.0,21.349261515438567,0.0,0,1,Emerging,10,9,2432.0,7757.552490234375,1.032258064516129
2022,Brazil,64.0,75501038733.31,201.1039276123047,38.0,25.047412251163834,1.7802887362099358,-1.1089279042512838,0.1097556535297594,0.12216293103117508,46440503520.19,64.0,38.0,62.57584007564847,0.0,0,1,Emerging,11,10,2432.0,7641.949249267578,1.032258064516129
2023,Brazil,64.0,62750364285.48,255.69158935546875,36.0,24.86243022028775,1.7802887362099358,-1.2102659633865185,0.5427952024604021,-0.02160406445061163,75501038733.31,64.0,38.0,-16.888078179783474,0.0,0,1,Emerging,12,11,2304.0,9204.897216796875,1.0
