Country / Territory,ISO3,Region,CPI score 2025,Rank 2025,Sources 2025,Standard error 2025,CPI score 2024,Rank 2024,Sources 2024,Standard error 2024,CPI score 2023,Rank 2023,Sources 2023,Standard error 2023,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Afghanistan,AFG,AP,16,169,5,4.23,17.0,165.0,5.0,5.76,20.0,162.0,5.0,6.24,24.0,150.0,4.0,6.3,16.0,174.0,5.0,2.12,19.0,165.0,5.0,2.44,16.0,173.0,5.0,2.55,16.0,172.0,5.0,1.41,15.0,177.0,5.0,1.39,15.0,5.0,1.74,11.0,4.0,3.49,12.0,4.0,1.29,8.0,3.0,3.3,8.0,3.0,3.3
Albania,ALB,ECA,39,91,7,2.41,42.0,80.0,8.0,3.03,37.0,98.0,7.0,1.56,36.0,101.0,8.0,1.32,35.0,110.0,8.0,1.33,36.0,104.0,8.0,0.92,35.0,106.0,8.0,2.51,36.0,99.0,8.0,1.65,38.0,91.0,8.0,1.81,39.0,7.0,1.99,36.0,7.0,3.58,33.0,7.0,1.51,31.0,7.0,2.1,33.0,7.0,2.0
Algeria,DZA,MENA,34,109,8,2.32,34.0,107.0,8.0,2.64,36.0,104.0,7.0,2.33,33.0,116.0,6.0,1.67,33.0,117.0,7.0,1.08,36.0,104.0,7.0,1.48,35.0,106.0,7.0,2.59,35.0,105.0,6.0,1.21,33.0,112.0,6.0,2.32,34.0,6.0,2.94,36.0,5.0,1.85,36.0,5.0,2.06,36.0,6.0,2.8,34.0,6.0,3.3
Angola,AGO,SSA,32,120,8,2.53,32.0,121.0,8.0,2.8,33.0,121.0,7.0,2.81,33.0,116.0,7.0,2.81,29.0,136.0,7.0,1.53,27.0,142.0,7.0,2.01,26.0,146.0,7.0,1.82,19.0,165.0,6.0,1.31,19.0,167.0,5.0,1.28,18.0,4.0,1.68,15.0,5.0,1.8,19.0,6.0,1.71,23.0,7.0,2.8,22.0,7.0,1.8
Argentina,ARG,AME,36,104,8,2.18,37.0,99.0,8.0,3.01,37.0,98.0,8.0,2.05,38.0,94.0,7.0,2.33,38.0,96.0,8.0,2.1,42.0,78.0,8.0,2.32,45.0,66.0,8.0,3.29,40.0,85.0,8.0,2.7,39.0,85.0,8.0,2.92,36.0,8.0,1.76,32.0,7.0,1.84,34.0,7.0,2.42,34.0,8.0,2.4,35.0,8.0,2.6
Armenia,ARM,ECA,46,65,6,2.3,47.0,63.0,6.0,2.5,47.0,62.0,6.0,2.54,46.0,63.0,6.0,2.47,49.0,58.0,6.0,3.76,49.0,60.0,6.0,3.5,42.0,77.0,6.0,4.31,35.0,105.0,6.0,4.0,35.0,107.0,6.0,3.79,33.0,6.0,4.01,35.0,5.0,2.98,37.0,6.0,3.69,36.0,6.0,3.5,34.0,6.0,2.7
Australia,AUS,AP,76,12,9,1.43,77.0,10.0,9.0,1.67,75.0,14.0,9.0,1.52,75.0,13.0,9.0,0.78,73.0,18.0,9.0,1.63,77.0,11.0,9.0,1.05,77.0,12.0,9.0,1.32,77.0,13.0,9.0,1.27,77.0,13.0,9.0,1.4,79.0,8.0,1.27,79.0,8.0,1.5,80.0,8.0,1.31,81.0,8.0,1.5,85.0,8.0,1.1
Austria,AUT,WE/EU,69,21,8,1.25,67.0,25.0,8.0,1.92,71.0,20.0,8.0,1.37,71.0,22.0,8.0,1.53,74.0,13.0,8.0,0.83,76.0,15.0,8.0,0.67,77.0,12.0,8.0,1.57,76.0,14.0,8.0,1.37,75.0,16.0,8.0,1.17,75.0,7.0,1.36,76.0,7.0,1.76,72.0,7.0,3.49,69.0,8.0,3.2,69.0,8.0,2.4
Azerbaijan,AZE,ECA,30,130,7,6.55,22.0,154.0,6.0,2.38,23.0,154.0,6.0,2.46,23.0,157.0,6.0,2.4,30.0,128.0,7.0,5.52,30.0,129.0,7.0,5.0,30.0,126.0,7.0,7.16,25.0,152.0,6.0,4.09,31.0,122.0,7.0,5.64,30.0,7.0,5.13,29.0,6.0,3.25,29.0,6.0,3.02,28.0,6.0,3.5,27.0,6.0,2.5
Bahamas,BHS,AME,64,29,3,6.56,65.0,28.0,3.0,6.24,64.0,30.0,3.0,5.47,64.0,30.0,3.0,5.32,64.0,30.0,3.0,5.63,63.0,30.0,3.0,5.8,64.0,29.0,3.0,5.83,65.0,29.0,3.0,5.39,65.0,28.0,3.0,5.39,66.0,3.0,5.2,,,,71.0,3.0,0.99,71.0,3.0,1.0,71.0,3.0,1.0
