Entity,Time,Value
Africa Eastern and Southern,1970,421709865.5601
Afghanistan,1970,230000.0
Africa Western and Central,1970,407459999.6
Angola,1970,2399999.9
Arab World,1970,489809999.8
United Arab Emirates,1970,7780000.0
Argentina,1970,89769999.9
Australia,1970,893138535.5
Austria,1970,112650000.0
Burundi,1970,100000.0
Belgium,1970,314000000.0
Benin,1970,6700000.0
Burkina Faso,1970,400000.0
"Bahamas, The",1970,80319999.9
Belize,1970,7089999.9
Bolivia,1970,19763999.9
Brazil,1970,391699999.9
Barbados,1970,10868499.9945657
Brunei Darussalam,1970,85530000.0
Central African Republic,1970,1200000.0
Canada,1970,1827117680.30674
Chile,1970,12330000.0
Cote d'Ivoire,1970,30699999.9
Cameroon,1970,16000000.0
"Congo, Dem. Rep.",1970,6429999.9
"Congo, Rep.",1970,5099999.9
Colombia,1970,42999999.9997559
Costa Rica,1970,26345009.9
Caribbean small states,1970,185478499.794566
Cyprus,1970,20199999.9
Denmark,1970,104000000.0
Dominican Republic,1970,71600000.0
Algeria,1970,80120000.0
East Asia & Pacific (excluding high income),1970,417482884.6
Early-demographic dividend,1970,1914402865.3601
East Asia & Pacific,1970,1906973498.1
Europe & Central Asia (excluding high income),1970,58000000.0
Europe & Central Asia,1970,4502468280.4805
Ecuador,1970,88599999.9
"Egypt, Arab Rep.",1970,680000.0
Euro area,1970,2687319465.50087
Spain,1970,222000000.0
European Union,1970,2899569468.79635
Fragile and conflict affected situations,1970,688569999.6
Finland,1970,18000000.0
Fiji,1970,6400000.0
France,1970,621212781.7
Gabon,1970,-700000.0
United Kingdom,1970,1487998811.68415
Ghana,1970,67799999.9
"Gambia, The",1970,100000.0
Greece,1970,50000000.0
Guatemala,1970,29399999.9
Guyana,1970,9000000.0
High income,1970,9317910083.88181
"Hong Kong SAR, China",1970,49822078.0
Honduras,1970,8400000.0
Heavily indebted poor countries (HIPC),1970,306793998.9
Haiti,1970,2799999.9
IBRD only,1970,1974995749.95986
IDA & IBRD total,1970,3185749258.65442
IDA total,1970,685459998.9
IDA blend,1970,450409999.7
Indonesia,1970,145380000.0
IDA only,1970,235049999.2
India,1970,45460000.0
Ireland,1970,32000000.0
"Iran, Islamic Rep.",1970,28000000.0
Iraq,1970,-910000.0
Iceland,1970,4500000.0
Israel,1970,49000000.0
Italy,1970,624159999.37584
Jamaica,1970,162099999.9
Japan,1970,94000000.0
Kenya,1970,13800000.0
Cambodia,1970,100000.0
"Korea, Rep.",1970,66000000.0
Kuwait,1970,25989999.9
Latin America & Caribbean (excluding high income),1970,1230822999.09976
Lao PDR,1970,100000.0
Liberia,1970,57140000.0
Libya,1970,317220000.0
Latin America & Caribbean,1970,1432016508.79432
Least developed countries: UN classification,1970,137629999.2
Low income,1970,107039999.6
Sri Lanka,1970,-300000.0
Lower middle income,1970,664243999.2
Low & middle income,1970,2651455748.85986
Late-demographic dividend,1970,1177607893.89976
Morocco,1970,20000000.0
Madagascar,1970,10000000.0
"Middle East, North Africa, Afghanistan & Pakistan",1970,594679999.9
Mexico,1970,312107000.0
Middle income,1970,2544415749.25986
Malta,1970,11600000.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",1970,484240000.0
Mozambique,1970,300000.0
Mauritania,1970,800000.0
Mauritius,1970,1600000.0
Malawi,1970,8599999.9
Malaysia,1970,94000000.0
North America,1970,3047117680.30674
Niger,1970,2720000.0
Nigeria,1970,205000000.0
Nicaragua,1970,15000000.0
Netherlands,1970,632596684.625027
Norway,1970,64000000.0
New Zealand,1970,146000000.0
OECD members,1970,9171306506.287
Oman,1970,3020000.0
Other small states,1970,125629999.9
Pakistan,1970,23000000.0
Peru,1970,-13960000.0
Philippines,1970,-1040000.0
Papua New Guinea,1970,129650000.0
Pre-demographic dividend,1970,404259999.1
Portugal,1970,28899999.9
Paraguay,1970,4751999.9
Pacific island small states,1970,6420000.0
Post-demographic dividend,1970,8799315074.38181
Qatar,1970,5690000.0
Rwanda,1970,60000.0
South Asia,1970,45160000.0
Saudi Arabia,1970,7360000.0
Sudan,1970,1659999.9
Senegal,1970,5000000.0
Singapore,1970,93000000.0
Sierra Leone,1970,8199999.9
El Salvador,1970,3700000.0
"Somalia, Fed. Rep.",1970,4500000.0
Sub-Saharan Africa (excluding high income),1970,826969865.1601
Sub-Saharan Africa,1970,829169865.1601
Small states,1970,317528499.694566
Suriname,1970,-5000000.0
Sweden,1970,108250003.295488
Seychelles,1970,2200000.0
Syrian Arab Republic,1970,-100000.0
Chad,1970,600000.0
East Asia & Pacific (IDA & IBRD countries),1970,417482884.6
Europe & Central Asia (IDA & IBRD countries),1970,58000000.0
Togo,1970,700000.0
Thailand,1970,42802884.6
Latin America & the Caribbean (IDA & IBRD countries),1970,1351696508.89432
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",1970,484240000.0
South Asia (IDA & IBRD),1970,45160000.0
Sub-Saharan Africa (IDA & IBRD countries),1970,829169865.1601
Trinidad and Tobago,1970,83200000.0
Tunisia,1970,16000000.0
Turkiye,1970,58000000.0
Tanzania,1970,3069999.9
Uganda,1970,4200000.0
Upper middle income,1970,1880171750.05986
Uruguay,1970,2129999.9
United States,1970,1220000000.0
"Venezuela, RB",1970,-23000000.0
Viet Nam,1970,70000.0
World,1970,12357585832.7417
Samoa,1970,20000.0
South Africa,1970,334599866.1601
Zambia,1970,9519999.9
Zimbabwe,1970,18670000.0
Africa Eastern and Southern,1971,326490932.3561
Afghanistan,1971,450000.0
Africa Western and Central,1971,388679999.7
Angola,1971,1860000.0
Arab World,1971,47852734.621803
United Arab Emirates,1971,6940000.0
Argentina,1971,125670000.0
Australia,1971,1155158059.0
Austria,1971,142729999.9
Belgium,1971,428000000.0
Benin,1971,2799999.9
Burkina Faso,1971,1000000.0
"Bahamas, The",1971,54659999.9
Belize,1971,3339999.9
Bolivia,1971,1899999.9
Brazil,1971,449000000.0
Barbados,1971,15656171.6384982
Brunei Darussalam,1971,-17550000.0
Central African Republic,1971,700000.0
Canada,1971,2273318428.36666
Central Europe and the Baltics,1971,0.0
Chile,1971,-18969999.9
Cote d'Ivoire,1971,15699999.9
Cameroon,1971,1700000.0
"Congo, Dem. Rep.",1971,5740000.0
"Congo, Rep.",1971,48700000.0
Colombia,1971,43128139.9995117
Costa Rica,1971,22100000.0
Caribbean small states,1971,167716171.638498
Cyprus,1971,29600000.0
Germany,1971,1103338754.95766
Denmark,1971,125000000.0
Dominican Republic,1971,65000000.0
Algeria,1971,600000.0
East Asia & Pacific (excluding high income),1971,514955384.5
Early-demographic dividend,1971,1808573666.57858
East Asia & Pacific,1971,2243066837.0
